,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
1,0,4,5,3,3,3,3,2,2,0,2,3,1,3,0,0,0,2,0,2
2,4,0,6,3,0,0,0,4,0,0,0,0,0,5,0,0,0,1,0,2
3,5,6,0,3,0,0,0,4,5,1,0,0,0,3,0,0,0,0,0,0
4,3,3,3,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0
5,3,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
6,3,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0
7,3,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0
8,2,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
